,screen_name,created_at,text
0,CNN,Sun Apr 21 14:05:19 +0000 2019,“I think it’s pretty clear that the President obstructed on several different occasions … I believe that the first… https://t.co/zychgtQsm5
1,CNN,Sun Apr 21 13:51:55 +0000 2019,“That’s an extraordinary statement and I would hope he would retract it.” Former US Attorney @PreetBharara responds… https://t.co/YjKzzX5q7r
2,CNN,Sun Apr 21 13:29:04 +0000 2019,"Netflix is opening a production hub in New York City that will bring ""up to $100 million in investments to the city… https://t.co/aAOBGkXEh0"
3,CNN,Sun Apr 21 13:23:39 +0000 2019,"“There’s nothing wrong with taking information from Russians,” Rudy Giuliani tells @jaketapper. #CNNSOTU… https://t.co/1KvxMzJlfV"
4,CNN,Sun Apr 21 13:19:53 +0000 2019,"“Some things are false, a lot of things are questionable,” Rudy Giuliani says about the Mueller report. #CNNSOTU… https://t.co/tbzYZZ6j4F"
5,CNN,Sun Apr 21 13:13:52 +0000 2019,Rudy Giuliani on his team’s rebuttal to the Mueller report: “We were ready to go if we thought that a lot of the is… https://t.co/StVMKA04nh
6,CNN,Sun Apr 21 12:31:04 +0000 2019,Parkland survivor Brandon Abzug asks Columbine survivor Amy Over how she deals with the mental health issues that c… https://t.co/TtRxQusDIu
7,CNN,Sun Apr 21 12:00:10 +0000 2019,What school threats and lockdowns are doing to a generation of children https://t.co/0H2ejTxV0z https://t.co/IabYZ73Q2d
8,CNN,Sun Apr 21 11:50:08 +0000 2019,"The Sri Lankan government has temporarily blocked social media sites, including Facebook and Instagram, in the wake… https://t.co/oIhcd54x3r"
9,CNN,Sun Apr 21 11:30:05 +0000 2019,There were only 147 of the world's fattest parrots alive -- and then came the baby boom https://t.co/aSCoTyfDjY https://t.co/8u1804t2eX
10,CNN,Sun Apr 21 11:03:03 +0000 2019,"This flu season is the longest in a decade, the CDC says https://t.co/4HCc6lLW3X https://t.co/UqwzjDhR4O"
11,CNN,Sun Apr 21 10:31:06 +0000 2019,"Elmo wants to bring peace to Westeros.

In a video, the ""Sesame Street"" fave tries to encourage levelheaded dialogu… https://t.co/ytk8aogngV"
12,CNN,Sun Apr 21 10:06:14 +0000 2019,"An eighth explosion has been confirmed in Sri Lanka, where a series of coordinated bomb attacks on churches and hot… https://t.co/0Sp28lI6UX"
13,CNN,Sun Apr 21 10:02:04 +0000 2019,Researchers dispatched a drone into the Hawaiian skies to observe an extremely biodiverse area on a remote part of… https://t.co/IPuy7xkq8s
14,CNN,Sun Apr 21 09:25:08 +0000 2019,Former Vice President Joe Biden is poised to make his long-awaited announcement to jump into the 2020 presidential… https://t.co/rBD94eswck
15,CNN,Sun Apr 21 09:01:04 +0000 2019,"When Trump learned that Robert Mueller had been appointed to investigate Russian interference, the President, accor… https://t.co/XBW4AGXkbe"
16,CNN,Sun Apr 21 08:32:04 +0000 2019,This tiny electric car is made for the city https://t.co/RHrsyGzID2 https://t.co/zw6HURsByl
17,CNN,Sun Apr 21 08:00:10 +0000 2019,Special counsel Robert Mueller’s team referred 14 investigations to other US attorney’s offices. 12 of those invest… https://t.co/uw58Oz88yq
18,CNN,Sun Apr 21 07:52:25 +0000 2019,Coordinated bomb blasts at a number of high-end hotels and churches in Sri Lanka have left at least 138 dead and mo… https://t.co/jR0pKBjNnV
19,CNN,Sun Apr 21 07:31:05 +0000 2019,President Trump's written testimony to special counsel Robert Mueller showed Trump repeatedly responded to inquirie… https://t.co/hoFXejLIje
