,screen_name,created_at,text
0,b'FoxNews',b'Thu Nov 08 19:18:44 +0000 2018',b'BREAKING: Federal appeals court rules against Trump administration on DACA https://t.co/KHnrNvEKAM'
1,b'FoxNews',b'Thu Nov 08 17:02:25 +0000 2018',"b'Breaking News: Grand jury indicts captain of Missouri duck boat that sank in severe weather, killing 17 people https://t.co/ffOOgzRwdo'"
2,b'FoxNews',b'Thu Nov 08 15:14:45 +0000 2018',"b'JUST IN: Police identify gunman who opened fire inside California bar, killing 12 https://t.co/PvITYr54AX'"
3,b'FoxNews',b'Thu Nov 08 14:22:51 +0000 2018',b'JUST IN: Supreme Court Justice Ruth Bader Ginsburg fractures 3 ribs in fall https://t.co/9UM9hKTz4m'
4,b'FoxNews',b'Thu Nov 08 13:43:25 +0000 2018',"b'Sgt. Ron Helus was fatally shot when he responded to the mass shooting on Nov. 7 at a bar in Thousand Oaks, Califor\xe2\x80\xa6 https://t.co/vOH3OWPN5S'"
5,b'FoxNews',b'Thu Nov 08 13:35:03 +0000 2018',b'Tom Homan: \xe2\x80\x9cIt\xe2\x80\x99s a tragedy each and every time.\xe2\x80\x9d https://t.co/dMV68Hfdz0 https://t.co/hrq51VJg7x'
6,b'FoxNews',b'Thu Nov 08 13:22:27 +0000 2018',"b'People walk away from the scene in Thousand Oaks, Calif. where a gunman opened fire Wednesday.\xe2\x80\xa6 https://t.co/O3Oo2iLL8O'"
7,b'FoxNews',b'Thu Nov 08 12:56:20 +0000 2018',b'Teylor Whittler describes what she witnessed at California bar shooting https://t.co/dMV68Hfdz0 https://t.co/YznTZgQoYY'
8,b'FoxNews',b'Thu Nov 08 12:37:05 +0000 2018',"b'An FBI agent talks to a potential witness as they stand near the scene in Thousand Oaks, Calif. where a gunman open\xe2\x80\xa6 https://t.co/7QOmXNTYM0'"
9,b'FoxNews',b'Thu Nov 08 12:25:14 +0000 2018',b'Ventura County Fire Department Captain Stan Ziegler: \xe2\x80\x9cHundreds of first responders responded initially to the scene\xe2\x80\xa6 https://t.co/o4gArhmy4e'
10,b'FoxNews',b'Thu Nov 08 12:06:14 +0000 2018',"b'People comfort each other as they stand near the scene in Thousand Oaks, Calif. where a gunman opened fire during a\xe2\x80\xa6 https://t.co/wPI4XSpirC'"
11,b'FoxNews',b'Thu Nov 08 11:54:22 +0000 2018',"b""California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/dMV68Hfdz0 https://t.co/WvjarPpwPV"""
12,b'FoxNews',b'Thu Nov 08 11:38:17 +0000 2018',"b""California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/GqI77wMuYZ"""
13,b'FoxNews',b'Thu Nov 08 11:32:26 +0000 2018',"b""Sheriff's deputies speak to potential witnesses as they stand near the scene in Thousand Oaks, Calif., where a gunm\xe2\x80\xa6 https://t.co/jPE8k9oQHr"""
14,b'FoxNews',b'Thu Nov 08 11:26:46 +0000 2018',b'13 dead in country music bar including gunman https://t.co/PvITYr54AX https://t.co/UURBIatqte'
15,b'FoxNews',b'Thu Nov 08 11:18:08 +0000 2018',"b'12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/PvITYr54AX https://t.co/o8Nf8WuJcZ'"
16,b'FoxNews',b'Thu Nov 08 11:13:32 +0000 2018',"b'Breaking News: At least 12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/u6sVxdzHq5'"
17,b'FoxNews',b'Thu Nov 08 11:12:14 +0000 2018',b'.@CarleyShimkus is live with the \xe2\x80\x98Fox News Update\xe2\x80\x99 on Facebook Watch: https://t.co/hNrB8xzepH https://t.co/cQ9uxkjUIK'
18,b'FoxNews',b'Thu Nov 08 10:53:33 +0000 2018',"b'Authorities deliver an update on the shooting in Thousand Oaks, California. (Courtesy: KABC) https://t.co/BtGxxIfNx5'"
19,b'FoxNews',b'Thu Nov 08 10:36:12 +0000 2018',b'Pastor Dimas Salaberrios on California shooting: \xe2\x80\x9cMy immediate thoughts go out to the families. Because what\xe2\x80\x99s happ\xe2\x80\xa6 https://t.co/iowf5VOL2l'
20,b'FoxNews',b'Thu Nov 08 10:30:40 +0000 2018',"b'Las Vegas shooting survivors were inside Thousand Oaks bar, friends say https://t.co/nW9TLTON9n'"
21,b'FoxNews',b'Thu Nov 08 10:24:08 +0000 2018',"b'UPDATE: At least 11 wounded in shooting at California bar, gunman dead, police say https://t.co/awRowfbeRy'"
22,b'FoxNews',b'Thu Nov 08 10:16:43 +0000 2018',b'Authorities confirm gunman is dead @FoxFriendsFirst https://t.co/PvITYr54AX https://t.co/a2EIH1EWmA'
