,screen_name,created_at,full_text
0,TygerTheKing,2019-05-26 20:07:39,"RT @carlosgzz03:  THE DRAGON QUEEN  

ARTwork by Me!

Prints &amp; Merch here!

https://t.co/aonA9nA1is

#GameOfThrones #Daenerys #DaenerysTarg "
1,raphael_bartoli,2019-05-26 20:06:00,"RT @Rayez_: C'est  a qu'on m ritait, c'est  a qu'on fucking m ritait  
#GoTFinale https://t.co/RwO0yhwzAT"
2,fxtradershome,2019-05-26 20:04:45,"RT @fxtradershome: Watch Netflix FREE for Two Years Now!
CLICK HERE: https://t.co/TZjVmlCAxO 

#SundayMorning
#GameOfThronesFinale
#dateyou "
3,fxtradershome,2019-05-26 20:04:41,"RT @fxtradershome: Watch Netflix for Two Years Now!
https://t.co/TZjVmlCAxO

#SundayMorning
#GameOfThronesFinale
#dateyourselfin5words
#Sun "
4,improv4humans,2019-05-26 20:04:14,"Andy Cohen (@kennygstevenson) hosts the LIVE Game of Thrones reunion special right here on i4h! Feat. the amazing @MrChadCarter, @LILmookieB, @Tonicharline, @A___L___i,, @vicmmic, &amp; @pizzamannion w/ @MattBesser! #GameOfThrones #GOTFinale 

Listen here: https://t.co/NweOB0KLYe https://t.co/JEYcNcUWD9"
5,abanunde,2019-05-26 19:51:18,RT @calosth: Me imagino que est n instalando la rampa para poder subir a Bran al trono de hierro #GOTFinale
6,pedrosilvaxs,2019-05-26 19:46:15,"RT @4oceanBracelets: ""It's just 1 water bottle,"" said Grand Maester Samwell Tarley
#4ocean #GOTFinale #GameOfThrones https://t.co/a5cVeHcZRM"
7,altibrandipa,2019-05-26 19:44:40,"Avete rotto le palle a chiunque spoilerasse il finale di GOT o quello di Avengers Endagame, adesso per  cagate il caxxo anticipando con una totale sicurezza il finale di queste elezioni! Vi meritate lo... https://t.co/3OA89DlYGw"
8,WWERollinslp,2019-05-26 19:37:40,"RT @UpUpDwnDwn: .@WWERollins, @TrueKofi, @WWECesaro, and @XavierWoodsPhD sat down together after #MITB to discuss the EPIC final episode of "
9,aturcluton,2019-05-26 19:37:27,"RT @FarahBatchelor: Whatever happens in the next few hours....its been an overall emotional epic watch. 

#GameOfThronesFinale
#GameOfThron "
10,deathreigns13,2019-05-26 19:34:58,"RT @vanesaanaelena: #GameOfThrones #GOTFinale 

UUUUUH ... THE THREE EYED RAVEN....IN THE SEASON 1 PROMO POSTER... HAVE THEY KNOWN WHO GETS "
11,bangtanbig89,2019-05-26 19:33:32,"RT @MercedesExoL: Bien chido aqu  en la sala con mi santa madre!  viendo #GOTFinale, de #GameOfThrones con palomitas!!  como que no chingao "
12,LaurenChandte12,2019-05-26 19:26:07,RT @OllieMatthews_: #GOTFinale https://t.co/TrXyHibCDN
13,JoannaE37448690,2019-05-26 19:19:58,"RT @Hxnry_Nevoir: #JonSnow after killing Daenerys

 #TheFinalEpisode #GameofThrones #GOTFinale https://t.co/JhpNq87ggX"
14,saraart4,2019-05-26 19:16:26,RT @LeMagducine: L'hiver est venu mais il n'a pas fait aussi froid que pr vu. Cette ultime saison de #GameofThrones aura fait beaucoup de d 
