,screen_name,created_at,full_text
0,PonceDeLeon01,2019-05-26 20:10:51,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
1,CockyCocker105,2019-05-26 20:10:46,@nikolajcw Can't wait! And I seem to be the only person in the world that actally liked season 8. They always said it wasn't going to be a happy end. For that it was much nicer than I thought. And can someone maybe tell me what is supposed to be confusing about it? #GameOfThronesFinale
2,SoWhatMagazine,2019-05-26 20:10:00,"Il y a ce que l'on n'a pas aim  dans le dernier  pisode de #GameofThrones, et il y a ce que l'on a aim ... Et vous, qu'avez-vous aim  dans l' pisode final de GoT ? https://t.co/QPEz2KDNo1 #GameOfThronesFinale #GameOfThonesFinal"
3,Aline_C_Pereira,2019-05-26 20:09:53,RT @CostumeCinemato: Concept designs by #GameOfThrones Costume Designer Michele Clapton of #SansaStark coronation gown and tiara from the # 
4,T_Chahine,2019-05-26 20:09:12,RT @devonpalmer_: #GameOfThronesFinale can t believe this https://t.co/o4grycR8Ec
5,ADragonDemands,2019-05-26 20:09:11,RT @CostumeCinemato: Closeup detail of #SansaStark coronation gown. #GameOfThrones #GameofThronesFinale Image courtesy of @HBO. Source Mich 
6,ADragonDemands,2019-05-26 20:08:42,RT @CostumeCinemato: Concept designs by #GameOfThrones Costume Designer Michele Clapton of #SansaStark coronation gown and tiara from the # 
7,BorjaGreenUreta,2019-05-26 20:07:27,"RT @NoeliaHerondale:   HILO: AN LISIS DEL FINAL DE GAME OF THRONES  

Supongo que sobra decirlo, pero como nunca viene mal avisar... 

   A "
8,YLaVaca,2019-05-26 20:06:53,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
9,rxaph,2019-05-26 20:06:43,"2  pisodes j'ai arr ter  #GameOfThrones 
Le pire c'est que je sais qui a le tr ne   #GameOfThronesFinale"
10,Shumstaehjjk,2019-05-26 20:06:17,"I am very disappointed. I didn't watch 8 seasons to have a bad ending like that.
#GOT #GameOfThrones #GameOfThronesFinale"
11,fxtradershome,2019-05-26 20:04:45,"RT @fxtradershome: Watch Netflix FREE for Two Years Now!
CLICK HERE: https://t.co/TZjVmlCAxO 

#SundayMorning
#GameOfThronesFinale
#dateyou "
12,fxtradershome,2019-05-26 20:04:41,"RT @fxtradershome: Watch Netflix for Two Years Now!
https://t.co/TZjVmlCAxO

#SundayMorning
#GameOfThronesFinale
#dateyourselfin5words
#Sun "
13,fxtradershome,2019-05-26 20:04:36,"RT @fxtradershome: The most expensive experet in Russia value 1500 dollars - free download
https://t.co/NWbQll4fTT 
#forex 
#trading
#money "
14,Shumstaehjjk,2019-05-26 20:04:25,"Jon hugging Ghost, Sansa becoming the Queen of The North and Arya living her life just the way she wants.
#GOT #GameOfThrones #GameOfThronesFinale"
15,euimensadegorda,2019-05-26 20:03:29,"RT @novas_thayy: - J  superou o final de #GameOfThrones ?
- J  sim
- Vamos dar uma volta por a  ent o?
- A DAENERYS ADORAVA DAR UMA VOLTA P "
