HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.index,Input.screen_name,Input.created_at,Input.text,Answer.sentiment.label,Approve,Reject
301KG0KX9CVFP52RRSIMLWY47D7H2S,30MUBYSPBNCJMLTGLK659MKRG7UKSB,Tara Lipenski former gold US figure skater,Twitter sentiment analysis,"sentiment, text",$0.02 ,Sat May 04 14:37:51 PDT 2019,3,BatchId:3631007;OriginalHitTemplateId:928390909;,120,259200,Sun May 05 14:37:51 PDT 2019,,,3B837J3LDP6O6IVM7EFNE290L8ORSE,A32BHATBEP59GA,Approved,Sat May 04 14:44:17 PDT 2019,Sat May 04 14:44:39 PDT 2019,Tue May 07 14:44:39 PDT 2019,Sat May 04 14:51:21 PDT 2019,,,22,100% (8/8),100% (8/8),100% (8/8),2712,taralipinski,1/7/2018 0:00,@patmuldowney @JohnnyGWeir I feel like ours would have performed well,Positive,,
301KG0KX9CVFP52RRSIMLWY47D7H2S,30MUBYSPBNCJMLTGLK659MKRG7UKSB,Tara Lipenski former gold US figure skater,Twitter sentiment analysis,"sentiment, text",$0.02 ,Sat May 04 14:37:51 PDT 2019,3,BatchId:3631007;OriginalHitTemplateId:928390909;,120,259200,Sun May 05 14:37:51 PDT 2019,,,3GU1KF0O4JB4DJY5J0P3JIZLG2EPBJ,AHXYIS4ZEI28I,Approved,Sat May 04 14:44:35 PDT 2019,Sat May 04 14:45:01 PDT 2019,Tue May 07 14:45:01 PDT 2019,Sat May 04 14:51:22 PDT 2019,,,26,100% (5/5),100% (5/5),100% (5/5),2712,taralipinski,1/7/2018 0:00,@patmuldowney @JohnnyGWeir I feel like ours would have performed well,Negative,,
301KG0KX9CVFP52RRSIMLWY47D7H2S,30MUBYSPBNCJMLTGLK659MKRG7UKSB,Tara Lipenski former gold US figure skater,Twitter sentiment analysis,"sentiment, text",$0.02 ,Sat May 04 14:37:51 PDT 2019,3,BatchId:3631007;OriginalHitTemplateId:928390909;,120,259200,Sun May 05 14:37:51 PDT 2019,,,3JNQLM5FT5WKYLJB8F3L18NXHM0L2F,A3FAQHVPI8OUP0,Approved,Sat May 04 14:43:07 PDT 2019,Sat May 04 14:43:22 PDT 2019,Tue May 07 14:43:22 PDT 2019,Sat May 04 14:51:22 PDT 2019,,,15,100% (4/4),100% (4/4),100% (4/4),2712,taralipinski,1/7/2018 0:00,@patmuldowney @JohnnyGWeir I feel like ours would have performed well,Positive,,
302U8RURJZBGWSM4I0XASLSBQN9NVF,30MUBYSPBNCJMLTGLK659MKRG7UKSB,Tara Lipenski former gold US figure skater,Twitter sentiment analysis,"sentiment, text",$0.02 ,Sat May 04 14:37:43 PDT 2019,3,BatchId:3631007;OriginalHitTemplateId:928390909;,120,259200,Sun May 05 14:37:43 PDT 2019,,,36ZN444YTS8WFR0AAA45G5Y81O3OID,AIBX0FFXVGV3G,Approved,Sat May 04 14:45:30 PDT 2019,Sat May 04 14:45:38 PDT 2019,Tue May 07 14:45:38 PDT 2019,Sat May 04 14:51:22 PDT 2019,,,8,100% (29/29),100% (29/29),100% (29/29),3122,taralipinski,11/3/2018 20:09,Talking skating today and missing my husband so clearly I need to post this video my husband made of me skating.,Negative,,
302U8RURJZBGWSM4I0XASLSBQN9NVF,30MUBYSPBNCJMLTGLK659MKRG7UKSB,Tara Lipenski former gold US figure skater,Twitter sentiment analysis,"sentiment, text",$0.02 ,Sat May 04 14:37:43 PDT 2019,3,BatchId:3631007;OriginalHitTemplateId:928390909;,120,259200,Sun May 05 14:37:43 PDT 2019,,,3I33IC7ZWGC322S7BOEVSU7MNB2A2P,A30MP4LXV4MIFD,Approved,Sat May 04 14:44:27 PDT 2019,Sat May 04 14:44:43 PDT 2019,Tue May 07 14:44:43 PDT 2019,Sat May 04 14:51:22 PDT 2019,,,16,100% (9/9),100% (9/9),100% (9/9),3122,taralipinski,11/3/2018 20:09,Talking skating today and missing my husband so clearly I need to post this video my husband made of me skating.,Positive,,
302U8RURJZBGWSM4I0XASLSBQN9NVF,30MUBYSPBNCJMLTGLK659MKRG7UKSB,Tara Lipenski former gold US figure skater,Twitter sentiment analysis,"sentiment, text",$0.02 ,Sat May 04 14:37:43 PDT 2019,3,BatchId:3631007;OriginalHitTemplateId:928390909;,120,259200,Sun May 05 14:37:43 PDT 2019,,,3QHK8ZVMINSEMYJ7R8WW21Q1BSDBL7,A3JBAUWN5T7E0Q,Approved,Sat May 04 14:43:26 PDT 2019,Sat May 04 14:43:36 PDT 2019,Tue May 07 14:43:36 PDT 2019,Sat May 04 14:51:22 PDT 2019,,,10,100% (3/3),100% (3/3),100% (3/3),3122,taralipinski,11/3/2018 20:09,Talking skating today and missing my husband so clearly I need to post this video my husband made of me skating.,Positive,,
302U8RURJZBGWSM4I0XASLSBQN9VNN,30MUBYSPBNCJMLTGLK659MKRG7UKSB,Tara Lipenski former gold US figure skater,Twitter sentiment analysis,"sentiment, text",$0.02 ,Sat May 04 14:37:44 PDT 2019,3,BatchId:3631007;OriginalHitTemplateId:928390909;,120,259200,Sun May 05 14:37:44 PDT 2019,,,3ON104KXQL6ACTAXG7TB3Y1BZ7ZW4E,A2WY6HLF2YLSOF,Approved,Sat May 04 14:41:34 PDT 2019,Sat May 04 14:41:43 PDT 2019,Tue May 07 14:41:43 PDT 2019,Sat May 04 14:51:22 PDT 2019,,,9,100% (8/8),100% (8/8),100% (8/8),3168,taralipinski,12/6/2018 15:39,Congratsssss,Positive,,
302U8RURJZBGWSM4I0XASLSBQN9VNN,30MUBYSPBNCJMLTGLK659MKRG7UKSB,Tara Lipenski former gold US figure skater,Twitter sentiment analysis,"sentiment, text",$0.02 ,Sat May 04 14:37:44 PDT 2019,3,BatchId:3631007;OriginalHitTemplateId:928390909;,120,259200,Sun May 05 14:37:44 PDT 2019,,,3YHH42UU5CPD2BGXTSZ7IKUIKOGL0V,A3QARM8RJUQVPT,Approved,Sat May 04 14:43:08 PDT 2019,Sat May 04 14:43:11 PDT 2019,Tue May 07 14:43:11 PDT 2019,Sat May 04 14:51:22 PDT 2019,,,3,100% (3/3),100% (3/3),100% (3/3),3168,taralipinski,12/6/2018 15:39,Congratsssss,Positive,,
302U8RURJZBGWSM4I0XASLSBQN9VNN,30MUBYSPBNCJMLTGLK659MKRG7UKSB,Tara Lipenski former gold US figure skater,Twitter sentiment analysis,"sentiment, text",$0.02 ,Sat May 04 14:37:44 PDT 2019,3,BatchId:3631007;OriginalHitTemplateId:928390909;,120,259200,Sun May 05 14:37:44 PDT 2019,,,3Z7EFSHGNAOSWXS2JRVFOFR60MNCX1,A3UTB3ECQOXL5D,Approved,Sat May 04 14:42:52 PDT 2019,Sat May 04 14:42:56 PDT 2019,Tue May 07 14:42:56 PDT 2019,Sat May 04 14:51:22 PDT 2019,,,4,100% (13/13),100% (13/13),100% (13/13),3168,taralipinski,12/6/2018 15:39,Congratsssss,Positive,,
304QEQWKZPUILCL0GI9YMH2QM11O03,30MUBYSPBNCJMLTGLK659MKRG7UKSB,Tara Lipenski former gold US figure skater,Twitter sentiment analysis,"sentiment, text",$0.02 ,Sat May 04 14:37:44 PDT 2019,3,BatchId:3631007;OriginalHitTemplateId:928390909;,120,259200,Sun May 05 14:37:44 PDT 2019,,,3GA6AFUKOPY7X7W4LU2SSQZI6KS3H4,A1B2FDEWCIZV2J,Approved,Sat May 04 14:44:48 PDT 2019,Sat May 04 14:44:57 PDT 2019,Tue May 07 14:44:57 PDT 2019,Sat May 04 14:51:22 PDT 2019,,,9,100% (1/1),100% (1/1),100% (1/1),3170,taralipinski,12/11/2018 19:59,Happy Birthday to this ray of sunshine. @chelseakrusefit I m so lucky to have a friend like you!   We ll be friends,Positive,,
