index,screen_name,created_at,text
2703,taralipinski,2018-01-03 02:29:50,RT @rfh57: 20 years ago she won Olympic Gold.  Today @TaraandJohnny have solid bag action but even better memories. #USChamps18  
2704,taralipinski,2018-01-04 06:17:17,"RT @NBCOlympics: .@taralipinski and @JohnnyGWeir's rhinestone headsets. #USChamps18 #WinterOlympics "
2705,taralipinski,2018-01-04 20:52:22,Back at it. The Olympic team will be chosen this weekend! Some of these skaters will soon have a  
2706,taralipinski,2018-01-05 20:08:45,Turn down for what?! @terrygannon83 @johnnygweir #uschamps18 #roadtopyeongchang @ SAP Center 
2707,taralipinski,2018-01-06 20:13:15,What a Ladies event! I was on the edge of my seat. The skating was some of the best I ve seen in  
2708,taralipinski,2018-01-06 21:19:19,RT @ChateauHemmer: My husband spent half of the ladies long raving about @JohnnyGWeir and @taralipinski. He LOVES their commentary. Turning 
2709,taralipinski,2018-01-06 21:20:34,RT @NBCOlympics: A MUST-SEE: @taralipinski reacts to her gold medal skate 20 years after Nagano with broadcast partner @JohnnyGWeir. #Winte 
2710,taralipinski,2018-01-06 23:49:28,RT @patmuldowney: My favorite part of listening to @taralipinski &amp; @JohnnyGWeir call skating is that when someone gets launched spinning 20 
2711,taralipinski,2018-01-06 23:50:13,@patmuldowney @JohnnyGWeir Love that your watching and you re right- we probably should say that. Haha
2712,taralipinski,2018-01-07 00:00:05,@patmuldowney @JohnnyGWeir I feel like ours would have performed well
2713,taralipinski,2018-01-07 02:29:59,RT @Hannah_Bevis1: We don't deserve @JohnnyGWeir and @taralipinski. 
2714,taralipinski,2018-01-07 07:11:43,RT @spark1021: Having a blast at #USChamps18 with @taralipinski and @JohnnyGWeir 
2715,taralipinski,2018-01-07 16:49:43,What an incredible Nationals! Congratulations to all our new Olympians. We loved every minute  
2716,taralipinski,2018-01-07 19:34:54,RT @JohnnyGWeir: USA Figure Skating has nominated @nathanwchen @Adaripp &amp; @govincentzhou to the Olympic Team. I am heartbroken that Ross Mi 
2717,taralipinski,2018-01-08 00:28:20,US. #GoldenGlobes @ The Beverly Hilton 
2718,taralipinski,2018-01-08 02:47:31,What a fun experience! Golden Globes    Dress dressthepopulation  makeup/hair  
2719,taralipinski,2018-01-08 17:33:27,Last night and my two favorite pics of us.   Let me tell you- there is nothing better than  
2720,taralipinski,2018-01-08 20:21:43,Last night and my two favorite pics of us.   Let me tell you- there is nothing better than  
