,screen_name,created_at,text
0,taralipinski,8/13/2013 5:46,@GlideApp is changing my life. @NiasJoy   @elisejoanbliss
1,taralipinski,8/14/2013 19:51,Oh boyyyyy big day   dtlally @ Box Eight Studios 
2,taralipinski,8/15/2013 0:21,Sneak peek... 
3,taralipinski,8/19/2013 19:34,"RT @USFigureSkating: At the age of 15, @Tara_Lipinski became the youngest Olympic champion ever at the 1998 Games. #TheseAreTheMoments http "
4,taralipinski,8/20/2013 22:52, @ScottHamilton84: @USFigureSkating I'd go with @kristiyamaguchi @Tara_Lipinski @BrianBoitano They would be AMAZING! Hugs to all three of u!
5,taralipinski,8/21/2013 23:54,"Back where I belong.... #CarolinaGirl @ Kiawah Island, SC "
6,taralipinski,8/22/2013 17:57,#tbt Skating people what does this remind you of? #StarsonIce 
7,taralipinski,8/23/2013 1:59,"@ScottHamilton84 and then it was ""My Way"" Loved that years show #TunnelVision"
8,taralipinski,8/23/2013 21:34,@Laurapotesta come visit!
9,taralipinski,8/24/2013 19:07,Kiawah with Kelli @kellihurley @ The Ocean Room 
10,taralipinski,8/24/2013 19:10,#kiawahisland @kellihurley @ Kiawah Island 
11,taralipinski,8/25/2013 17:27,"Summer days with my pony and @kellihurley @ Kiawah Island, SC "
12,taralipinski,8/27/2013 17:11,@OBritta @niko_ottobot haha...hope it was fun! Xo
13,taralipinski,8/27/2013 17:12,@shutupbuck haha! But it's such a fun jump right?!
14,taralipinski,8/31/2013 20:43,Kiawah just got even better... dtlally debsvarc reed_mercado @ Kiawah Island 
15,taralipinski,9/1/2013 22:20,Thank goodness my bike is always equipped with a carving tool. TL AC RM DS @ Kiawah Tree House 
16,taralipinski,9/2/2013 0:20,@MrChristopherMD omg....I looked all over for it!!! We will just have to redo it
17,taralipinski,9/7/2013 20:40,2020 #Olympics #Toyko bringing it back to Japan. I like it. Japan and I go way back....
18,taralipinski,9/11/2013 23:49,Not so happy summer is over. I'm going to pretend its not...at least for two more weeks. #NYC I'll be  
19,taralipinski,9/13/2013 3:12,#tbt Not really sure what's goin on with that hand. 
20,taralipinski,9/14/2013 2:27,Icyyyyy Blue 
21,taralipinski,9/16/2013 14:55," @olyphil:More Frank Carroll on @GraceEGold:""I don't know her, and she doesn't know me.I don't know what to expect.""Olympic season has begun"
22,taralipinski,9/17/2013 1:28,@MarkBallas loved the choreography!  @DancingABC #DWTS
23,taralipinski,9/19/2013 14:49,Lipinski #family #love #tbt 
24,taralipinski,9/20/2013 20:56,RT @DissonSkating: #FF American Legends cast: @EvanLysacek @SarahHughesNY @Tara_Lipinski @kristiyamaguchi @BrianBoitano @SashaCohenNYC @Tan 
25,taralipinski,9/22/2013 20:22,Dad and I are road trippin it to NYC. Dublin is excited....Sadie is not happy she is being left behind. 
26,taralipinski,9/24/2013 12:57,"RT @JoAnnBarnas: Olys coming: Another cycle of friendship/rivalry stories ramping up for ice dance powers Davis/White, Virtue/Moir:  "
27,taralipinski,9/27/2013 11:47,RT @Sarah_Silver: TARA &amp; SARAH Photoshoot! So much fun on set with @tara_lipinski #taralipinski #awesomegirl #ilovemyjob   
28,taralipinski,9/27/2013 16:04,Yesterday with @sarah_silver She is just beyond crazy talented. #TaraandSarah #sameheight #sameclothes  
29,taralipinski,9/28/2013 16:06,"Coffee, bagels &amp; catchin up on @helloross Kinda obsessed. Ross, I think we need an Olympic reunion."
30,taralipinski,9/29/2013 3:57,    @alexaainsworth @angie_hubbard @ Lure Fishbar 
