,Unnamed: 0,compound,negative,neutral,positive,screen_name,created_at,full_text,full_text_3,retweet_count,favorite_count,user_mentions
0,0,0.4404,0.0,0.508,0.49200000000000005,LizAnnSonders,2018-03-27 22:42:32,Thrilled for our daughter ,,2,40,[]
1,1,0.0,0.0,1.0,0.0,LizAnnSonders,2018-03-28 10:17:47,Volatility is back with a vengeance ,,31,75,[]
2,2,0.0,0.0,1.0,0.0,LizAnnSonders,2018-03-28 11:27:50,RT A lot of people are getting worked up about all the 2 days on SPX recently Just because we havent had many in the ,A lot of people are getting worked up about all the 2% (+/-) days on $SPX recently. Just because we haven't had many in the past 18 months or so doesn't mean they're particularly dangerous. Here's every +2% day since 1950 (all -2% days on next post). $SPY $VIX https://t.co/6eMiit482d,32,0,"[{""screen_name"": ""OddStats"", ""name"": ""OddStats"", ""id"": 1370749164, ""id_str"": ""1370749164"", ""indices"": [3, 12]}]"
3,3,0.0,0.0,1.0,0.0,LizAnnSonders,2018-03-28 11:27:55,RT And heres every 2 day on SPX since 1950 SPY VIX ,And here's every -2% day on $SPX since 1950. $SPY $VIX https://t.co/8BpL0dFHmU,41,0,"[{""screen_name"": ""OddStats"", ""name"": ""OddStats"", ""id"": 1370749164, ""id_str"": ""1370749164"", ""indices"": [3, 12]}]"
4,4,0.0258,0.198,0.557,0.245,LizAnnSonders,2018-03-28 11:29:41, Market fundamentals are strong but expectations bar is now set high when it comes to fundamentals better or worse trenddirection matters more for the stock market than good or bad level,,0,0,"[{""screen_name"": ""ff_innovation"", ""name"": ""FutureFlowInnovation"", ""id"": 2217459012, ""id_str"": ""2217459012"", ""indices"": [0, 14]}]"
5,5,0.0,0.0,1.0,0.0,LizAnnSonders,2018-03-28 11:34:20,And if it does history also shows it will likely close at 4pm ,,3,52,[]
6,6,0.0,0.0,1.0,0.0,LizAnnSonders,2018-03-28 11:37:41,I thought it was just my phone s texts bending the spacetime continuum ,,2,9,[]
7,7,0.7096,0.0,0.718,0.282,LizAnnSonders,2018-03-28 15:18:13,Check out the stunning OwnYourTomorrow mural in Bushwick Brooklyn Waterbury amp Scholes by the talented the artist ,,9,37,"[{""screen_name"": ""CharlesSchwab"", ""name"": ""Charles Schwab Corp"", ""id"": 132703700, ""id_str"": ""132703700"", ""indices"": [23, 37]}, {""screen_name"": ""Sophie_roach_"", ""name"": ""Sophie Roach"", ""id"": 477109045, ""id_str"": ""477109045"", ""indices"": [124, 138]}]"
8,8,0.4215,0.0,0.9259999999999999,0.07400000000000001,LizAnnSonders,2018-03-28 15:24:17,Widening divergence bt 2 popular GDP models doesn t directly use sentiment surveys soft data they use them to estimate latent factor to indirectly forecast many of GDP s components vs which uses surveys as direct inputs in model ,,10,5,"[{""screen_name"": ""AtlantaFed"", ""name"": ""Atlanta Fed"", ""id"": 30857540, ""id_str"": ""30857540"", ""indices"": [47, 58]}, {""screen_name"": ""NewYorkFed"", ""name"": ""New York Fed"", ""id"": 15072071, ""id_str"": ""15072071"", ""indices"": [202, 213]}, {""screen_name"": ""biancoresearch"", ""name"": ""Bianco Research"", ""id"": 188369814, ""id_str"": ""188369814"", ""indices"": [259, 274]}]"
9,9,0.0,0.0,1.0,0.0,LizAnnSonders,2018-03-28 16:51:56,RT Schwab Market Update Stocks mixed as tech sector continues wild ride Our latest Market Update ,Schwab Market Update: Stocks mixed as tech sector continues wild ride. Our latest Market Update: https://t.co/0dvcQ68Hh2 https://t.co/3lsGXET2PW,3,0,"[{""screen_name"": ""SchwabResearch"", ""name"": ""Schwab Research"", ""id"": 3449547915, ""id_str"": ""3449547915"", ""indices"": [3, 18]}]"
