,Unnamed: 0,compound,negative,neutral,positive,screen_name,created_at,full_text,full_text_3,retweet_count,favorite_count,user_mentions
0,0,-0.5994,0.218,0.782,0.0,jimcramer,2019-01-11 14:16:20,RT Who lives who dies whats going on with that trade war Read s latest on h ,"Who lives, who dies, what's going on with that trade war? Read @JimCramer's latest on @RealMoney: https://t.co/TtsIU4RVfY https://t.co/5EqgfqpkoE",4,0,"[{""screen_name"": ""TheStreet"", ""name"": ""TheStreet"", ""id"": 15281391, ""id_str"": ""15281391"", ""indices"": [3, 13]}, {""screen_name"": ""jimcramer"", ""name"": ""Jim Cramer"", ""id"": 14216123, ""id_str"": ""14216123"", ""indices"": [78, 88]}, {""screen_name"": ""realmoney"", ""name"": ""Real Money"", ""id"": 390812646, ""id_str"": ""390812646"", ""indices"": [101, 111]}]"
1,1,0.3182,0.0,0.777,0.223,jimcramer,2019-01-11 14:16:59,Please tell us morevery big for our tech companies ,,31,195,[]
2,2,0.3774,0.23199999999999998,0.376,0.39299999999999996,jimcramer,2019-01-11 14:45:53,RT And so much courage to hate him Lol ,@tomjseaman @jimcramer And so much courage to hate him! Lol. https://t.co/mMGF1gEmxq,13,0,"[{""screen_name"": ""JoeSquawk"", ""name"": ""Joe Kernen"", ""id"": 553036368, ""id_str"": ""553036368"", ""indices"": [3, 13]}, {""screen_name"": ""tomjseaman"", ""name"": ""Tom Seaman"", ""id"": 4149669976, ""id_str"": ""4149669976"", ""indices"": [15, 26]}, {""screen_name"": ""jimcramer"", ""name"": ""Jim Cramer"", ""id"": 14216123, ""id_str"": ""14216123"", ""indices"": [27, 37]}]"
3,3,-0.2263,0.087,0.9129999999999999,0.0,jimcramer,2019-01-11 14:47:44,and thats why it got crushed but you do work through the inventory over time you have to anticipate the end ,,5,14,[]
4,4,0.0,0.0,1.0,0.0,jimcramer,2019-01-11 14:47:49,RT Now tells NFLX is the key to this market ,Now @SquawkStreet @jimcramer tells @davidfaber $NFLX is the key to this market. https://t.co/TVCXd4xoRy,2,0,"[{""screen_name"": ""ShannanSiemens"", ""name"": ""Shannan Siemens"", ""id"": 163566509, ""id_str"": ""163566509"", ""indices"": [3, 18]}, {""screen_name"": ""SquawkStreet"", ""name"": ""Squawk on the Street"", ""id"": 106498703, ""id_str"": ""106498703"", ""indices"": [24, 37]}, {""screen_name"": ""jimcramer"", ""name"": ""Jim Cramer"", ""id"": 14216123, ""id_str"": ""14216123"", ""indices"": [38, 48]}, {""screen_name"": ""davidfaber"", ""name"": ""David Faber"", ""id"": 140912249, ""id_str"": ""140912249"", ""indices"": [55, 66]}]"
5,5,0.4215,0.18600000000000003,0.545,0.268,jimcramer,2019-01-11 14:48:28,RT The bearish arguments are easy Figuring out when the market cares about them is hard ,The bearish arguments are easy. Figuring out when the market cares about them is hard. https://t.co/T62r0B7Apx @jimcramer @dougkass @realmoney https://t.co/wIsb9Cwmni,3,0,"[{""screen_name"": ""RevShark"", ""name"": ""James DePorre"", ""id"": 602811570, ""id_str"": ""602811570"", ""indices"": [3, 12]}, {""screen_name"": ""jimcramer"", ""name"": ""Jim Cramer"", ""id"": 14216123, ""id_str"": ""14216123"", ""indices"": [127, 137]}]"
6,6,0.1537,0.0,0.929,0.071,jimcramer,2019-01-11 14:49:22,I dont look down on jack I am talking about people who bet on nothing do not create straw men as it is unbecoming ,,5,20,[]
7,7,0.0,0.0,1.0,0.0,jimcramer,2019-01-11 14:49:30,RT Another week another podcast with This one is about CES highlights and product announcements ,"Another week, another podcast with @NelWang. This one is about CES highlights and product announcements. https://t.co/mHUmtvmnU6",7,0,"[{""screen_name"": ""EricJhonsa"", ""name"": ""Eric Jhonsa"", ""id"": 572077039, ""id_str"": ""572077039"", ""indices"": [3, 14]}, {""screen_name"": ""NelWang"", ""name"": ""Nelson Wang"", ""id"": 15356617, ""id_str"": ""15356617"", ""indices"": [51, 59]}]"
8,8,-0.29600000000000004,0.196,0.804,0.0,jimcramer,2019-01-11 15:21:38,The Chargers secret weapon Summit High And the Money Badger ,,7,15,[]
9,9,0.0772,0.0,0.9540000000000001,0.046,jimcramer,2019-01-11 16:17:48,I know that there is tremendous controversy about my selecting Canopy as the way to invest in cannabis if you want to invest in it I stand by the call,,44,382,[]
10,10,-0.8291,0.196,0.804,0.0,jimcramer,2019-01-11 16:19:24,I think that looking at gasoline as a one off it going to be a thing of the past I do not like ad hominem attacks so i will block you after this but it is a shame that you cant think bigger than you do small thinking is unappealing ,,9,54,[]
11,11,0.5766,0.12300000000000001,0.595,0.282,jimcramer,2019-01-11 16:19:40,RT LOL not seeing a whole lotta criticism of our friends on the left there on your twitter ,"@brickley856 @jimcramer @tomjseaman LOL not seeing a whole lotta criticism of our friends on the left there on your twitter feed Bucky, just saying. To each his own I guess, maybe that’s what you meant.",5,0,"[{""screen_name"": ""JoeSquawk"", ""name"": ""Joe Kernen"", ""id"": 553036368, ""id_str"": ""553036368"", ""indices"": [3, 13]}]"
12,12,0.4404,0.0,0.818,0.182,jimcramer,2019-01-11 16:20:04,RT Heres suggesting a handshake with would be good for and millions of patients https ,"Here's @JimCramer suggesting a ""handshake"" with @MayoClinic would be good for @Apple (and millions of patients!): https://t.co/kO4WSqNDEQ",11,0,"[{""screen_name"": ""MayoInvents"", ""name"": ""Mayo Clinic Ventures"", ""id"": 284171138, ""id_str"": ""284171138"", ""indices"": [3, 15]}, {""screen_name"": ""jimcramer"", ""name"": ""Jim Cramer"", ""id"": 14216123, ""id_str"": ""14216123"", ""indices"": [24, 34]}, {""screen_name"": ""MayoClinic"", ""name"": ""Mayo Clinic"", ""id"": 14592723, ""id_str"": ""14592723"", ""indices"": [65, 76]}, {""screen_name"": ""Apple"", ""name"": ""Apple"", ""id"": 380749300, ""id_str"": ""380749300"", ""indices"": [95, 101]}]"
13,13,0.7964,0.0,0.5760000000000001,0.424,jimcramer,2019-01-11 16:35:40,Nice action in the soft goods and health care stocks some god stuff here,,4,42,[]
14,14,0.0,0.0,1.0,0.0,jimcramer,2019-01-11 16:35:57,this is so right ,,3,18,[]
15,15,0.8591,0.0,0.424,0.5760000000000001,jimcramer,2019-01-11 18:34:56, Happy Birthday and best wishes to the grandmother of Twitter,,3,8,"[{""screen_name"": ""marciadorsey"", ""name"": ""Marcia Dorsey\ud83c\udf3b"", ""id"": 76, ""id_str"": ""76"", ""indices"": [0, 13]}]"
16,16,-0.4019,0.34600000000000003,0.654,0.0,jimcramer,2019-01-11 18:42:11,Oil down hard to rally The odd correlation continues,,11,87,[]
